									
		Match 41		Match 42		Match 43		Match 44	
Slot 1	7:00 a.m - 7:30 a.m	Impact (Vasant Kunj)	INDIAN JETS	Football club calibri	GJPS   STARS	IYSA (Jr - 2)	JUNIOR SLACKERS	HT united	hypervenom
	Changeover	10 mins = warmup							
		Match 45		Match 46		Match 47		Match 48	
Slot 2	7:40 a.m - 8:10 a.m	KK Academy 	Karan Wariyars	inazuma	IYSA (SR -2)	MADRID DYNAMOS	Merwa	Jamia Golden Girls	Jamia School 
	Changeover	10 mins = warmup							
		Match 49		Match 50		Match 51		Match 52	
Slot 3	8:20 a.m -8:50 a.m	Mandakini Junior Strikers	NGFS Saket 	DAV MB 1	KV CHAMPIONS	RED DEVILS FC	rising stars yo!	LBS Football Club	LEGACY FC
	Changeover	10 mins = warmup							
		Match 53		Match 54		Match 55		Match 56	
Slot 4	9:00 a.m - 9:30a.m	Dwarka Dare Devils	Dwarka Madrid	FC POCKET 12	fc thunder bulls	DYNAMIC STRIKERS	E.P.F.C	FFC	FOOTBALL CLUB BABARPUR
	Changeover	10 mins = warmup							
		Match 57		Match 58		Match 59		Match 60	
Slot 5	9:40 a.m - 10:10 a.m	FC  SAHIBABAD	fc club	Football Freaks FC	Footwork Fanatics	FC Dragon Stunners	FC NIRALA	Freekickers	Galacticos Jr
	Changeover	10 mins = warmup							
		Match 61		Match 62		Match 63		Match 64	
Slot 6	10:20 a.m. - 10:50 a.m	FC VICTORIANS	FCB Supertech	Galaxy7	garden strikers	Footballers United	Furious 9	GHPS	heroes
	Changeover	10 mins = warmup							
		Match 65		Match 66		Match 67		Match 68	
Slot 7	11:00 a.m - 11:30 a.m	galactics	galaxiean	Impact Rohini	Inazuma11	GROOVE STRIKERS	heavenly bodies	Indian Barca	INNOCENT DEVILS
	Changeover	10 mins = warmup							
		Match 69		Match 70		Match 71		Match 72	
Slot 8	11:40 p.m - 12:10 p.m	Heptagon United	indian champs	invincibles fc	JANASAMSKRITI MAYUR VIHAR 2	JANASAMSKRITI MAYURVIHAR 2	Lightning  dragons	Jhilmil rockers	KV STIKER
	Changeover	10 mins = warmup							
		Match 73		Match 74		Match 75		Match 76	
Slot 9	12:20 p.m - 12:50 p.m	Manchester Utd.	Manu Typhoonz	LEADERS FC	MADRISTA	mariansFC	NACEN UNITED	ManchesteGzB FC	Ms united
	Changeover	10 mins = warmup							
		Match 77		Match 78		Match 79		Match 80	
Slot 10	1:00 p.m - 1:30 p.m	Newtron	raimon juniors	D 6 Vasant Kunj	navyug school mandir marg	Ravens FC	Real United	Ninja Turtle Jr.	o.c fc
